origin_iso,origin_name,origin_region_name,destination_iso,destination_name,destination_region_name,countryflow_2014,countryflow_2015
AT,Austria,ESRA North-West,HR,Croatia,ESRA East,3001,3013
AT,Austria,ESRA North-West,HU,Hungary,ESRA East,1915,1828
AT,Austria,ESRA North-West,IE,Ireland,ESRA North-West,504,485
AT,Austria,ESRA North-West,IT,Italy,ESRA Mediterranean,9344,9007
AT,Austria,ESRA North-West,LT,Lithuania,Other Europe,399,406
AT,Austria,ESRA North-West,LU,Luxembourg,ESRA North-West,1080,1130
AT,Austria,ESRA North-West,LV,Latvia,Other Europe,658,644
AT,Austria,ESRA North-West,MD,Moldova,ESRA East,528,598
AT,Austria,ESRA North-West,MK,Macedonia,ESRA East,604,607
AT,Austria,ESRA North-West,MT,Malta,ESRA Mediterranean,439,492
AT,Austria,ESRA North-West,NL,Netherlands,ESRA North-West,3971,3966
AT,Austria,ESRA North-West,NO,Norway,ESRA North-West,1142,976
AT,Austria,ESRA North-West,PL,Poland,ESRA East,2745,2686
AT,Austria,ESRA North-West,PT,Portugal,ESRA Mediterranean,579,704
AT,Austria,ESRA North-West,RO,Romania,ESRA East,3434,3241
AT,Austria,ESRA North-West,RS,Serbia,ESRA East,3139,2948
AT,Austria,ESRA North-West,SE,Sweden,ESRA North-West,1786,1818
AT,Austria,ESRA North-West,SI,Slovenia,ESRA East,1638,1385
AT,Austria,ESRA North-West,SJ,Svalbard & Jan Mayen,ESRA North-West,0,1
AT,Austria,ESRA North-West,SK,Slovakia,ESRA East,890,856
AT,Austria,ESRA North-West,TR,Turkey,ESRA Mediterranean,5300,5480
AT,Austria,ESRA North-West,UA,Ukraine,ESRA East,2472,2372
BA,Bosnia & Herzegovina,ESRA East,AL,Albania,ESRA East,3,2
BA,Bosnia & Herzegovina,ESRA East,AT,Austria,ESRA North-West,692,685
BA,Bosnia & Herzegovina,ESRA East,BA,Bosnia & Herzegovina,ESRA East,514,232
BA,Bosnia & Herzegovina,ESRA East,BE,Belgium,ESRA North-West,16,10
BA,Bosnia & Herzegovina,ESRA East,BG,Bulgaria,ESRA East,7,5
BA,Bosnia & Herzegovina,ESRA East,CH,Switzerland,ESRA North-West,238,235
BA,Bosnia & Herzegovina,ESRA East,CY,Cyprus,ESRA Mediterranean,2,3
BA,Bosnia & Herzegovina,ESRA East,CZ,Czechia,ESRA East,5,10
BA,Bosnia & Herzegovina,ESRA East,DE,Germany,ESRA North-West,767,959
BA,Bosnia & Herzegovina,ESRA East,DK,Denmark,ESRA North-West,109,26
BA,Bosnia & Herzegovina,ESRA East,ES,Spain,ESRA Mediterranean,5,8
BA,Bosnia & Herzegovina,ESRA East,FI,Finland,ESRA North-West,0,2
BA,Bosnia & Herzegovina,ESRA East,FR,France,ESRA North-West,172,160
BA,Bosnia & Herzegovina,ESRA East,GB,United Kingdom,ESRA North-West,13,14
BA,Bosnia & Herzegovina,ESRA East,GR,Greece,ESRA Mediterranean,24,26
BA,Bosnia & Herzegovina,ESRA East,HR,Croatia,ESRA East,697,753
BA,Bosnia & Herzegovina,ESRA East,HU,Hungary,ESRA East,28,23
BA,Bosnia & Herzegovina,ESRA East,IE,Ireland,ESRA North-West,2,8
BA,Bosnia & Herzegovina,ESRA East,IT,Italy,ESRA Mediterranean,681,709
BA,Bosnia & Herzegovina,ESRA East,LT,Lithuania,Other Europe,2,2
BA,Bosnia & Herzegovina,ESRA East,LU,Luxembourg,ESRA North-West,1,0
BA,Bosnia & Herzegovina,ESRA East,MK,Macedonia,ESRA East,9,9
BA,Bosnia & Herzegovina,ESRA East,MT,Malta,ESRA Mediterranean,0,1
BA,Bosnia & Herzegovina,ESRA East,NL,Netherlands,ESRA North-West,56,105
BA,Bosnia & Herzegovina,ESRA East,NO,Norway,ESRA North-West,19,91
BA,Bosnia & Herzegovina,ESRA East,PL,Poland,ESRA East,3,9
BA,Bosnia & Herzegovina,ESRA East,PT,Portugal,ESRA Mediterranean,5,1
BA,Bosnia & Herzegovina,ESRA East,RO,Romania,ESRA East,5,13
BA,Bosnia & Herzegovina,ESRA East,RS,Serbia,ESRA East,1144,818
BA,Bosnia & Herzegovina,ESRA East,SE,Sweden,ESRA North-West,342,399
BA,Bosnia & Herzegovina,ESRA East,SI,Slovenia,ESRA East,475,357
BA,Bosnia & Herzegovina,ESRA East,SK,Slovakia,ESRA East,12,12
BA,Bosnia & Herzegovina,ESRA East,TR,Turkey,ESRA Mediterranean,1415,1378
BA,Bosnia & Herzegovina,ESRA East,UA,Ukraine,ESRA East,1,2
BE,Belgium,ESRA North-West,AL,Albania,ESRA East,144,261
BE,Belgium,ESRA North-West,AM,Armenia,Other Europe,2,6
BE,Belgium,ESRA North-West,AT,Austria,ESRA North-West,2767,2794
BE,Belgium,ESRA North-West,BA,Bosnia & Herzegovina,ESRA East,13,9
BE,Belgium,ESRA North-West,BE,Belgium,ESRA North-West,6268,5609
BE,Belgium,ESRA North-West,BG,Bulgaria,ESRA East,791,828
BE,Belgium,ESRA North-West,CH,Switzerland,ESRA North-West,5710,6074
BE,Belgium,ESRA North-West,CY,Cyprus,ESRA Mediterranean,272,278
BE,Belgium,ESRA North-West,CZ,Czechia,ESRA East,2029,2317
BE,Belgium,ESRA North-West,DE,Germany,ESRA North-West,13595,15080
BE,Belgium,ESRA North-West,DK,Denmark,ESRA North-West,3420,3970
BE,Belgium,ESRA North-West,EE,Estonia,Other Europe,427,450
BE,Belgium,ESRA North-West,ES,Spain,ESRA Mediterranean,19645,20901
BE,Belgium,ESRA North-West,FI,Finland,ESRA North-West,1535,1569
BE,Belgium,ESRA North-West,FO,Faroe Islands,ESRA North-West,2,2
BE,Belgium,ESRA North-West,FR,France,ESRA North-West,15939,16141
BE,Belgium,ESRA North-West,GB,United Kingdom,ESRA North-West,14250,14533
BE,Belgium,ESRA North-West,GE,Georgia,Other Europe,11,5
BE,Belgium,ESRA North-West,GI,Gibraltar,Other Europe,1,1
BE,Belgium,ESRA North-West,GR,Greece,ESRA Mediterranean,3583,3714
BE,Belgium,ESRA North-West,HR,Croatia,ESRA East,994,1149
BE,Belgium,ESRA North-West,HU,Hungary,ESRA East,1981,2140
BE,Belgium,ESRA North-West,IE,Ireland,ESRA North-West,1964,2370
BE,Belgium,ESRA North-West,IT,Italy,ESRA Mediterranean,16514,16311
BE,Belgium,ESRA North-West,LT,Lithuania,Other Europe,577,580
BE,Belgium,ESRA North-West,LU,Luxembourg,ESRA North-West,226,247
BE,Belgium,ESRA North-West,LV,Latvia,Other Europe,690,1092
BE,Belgium,ESRA North-West,MD,Moldova,ESRA East,3,4
BE,Belgium,ESRA North-West,MK,Macedonia,ESRA East,147,158
BE,Belgium,ESRA North-West,MT,Malta,ESRA Mediterranean,431,494
BE,Belgium,ESRA North-West,NL,Netherlands,ESRA North-West,2945,2935
BE,Belgium,ESRA North-West,NO,Norway,ESRA North-West,1786,1838
BE,Belgium,ESRA North-West,PL,Poland,ESRA East,3039,3858
BE,Belgium,ESRA North-West,PT,Portugal,ESRA Mediterranean,4735,5140
BE,Belgium,ESRA North-West,RO,Romania,ESRA East,1795,2233
BE,Belgium,ESRA North-West,RS,Serbia,ESRA East,609,592
BE,Belgium,ESRA North-West,SE,Sweden,ESRA North-West,3759,3881
BE,Belgium,ESRA North-West,SI,Slovenia,ESRA East,770,817
