origin_iso,origin_name,originregion_name,destination_iso,destination_name,destinationregion_name,countryflow_2001,countryflow_2002,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014,countryflow_2015
AM,Armenia,Other Europe,ES,Spain,ESRA Mediterranean,0,0,1,0,0,0,2,3,2,17,19,12,1,16,11
AM,Armenia,Other Europe,FI,Finland,ESRA North-West,0,0,0,2,0,0,3,2,1,1,0,1,0,2,0
AM,Armenia,Other Europe,FR,France,ESRA North-West,110,111,144,131,144,222,268,287,279,268,319,279,173,275,187
AM,Armenia,Other Europe,GB,United Kingdom,ESRA North-West,7,5,71,149,251,261,209,206,210,208,373,292,6,6,4
AM,Armenia,Other Europe,GE,Georgia,Other Europe,0,0,0,0,0,6,193,114,832,717,212,44,42,42,197
AM,Armenia,Other Europe,GR,Greece,ESRA Mediterranean,87,68,60,56,65,111,96,112,87,88,83,74,18,68,120
AM,Armenia,Other Europe,HR,Croatia,ESRA East,0,1,0,0,0,1,5,5,3,2,1,0,2,2,1
AM,Armenia,Other Europe,HU,Hungary,ESRA East,2,2,0,3,0,1,2,2,2,4,2,2,2,2,1
AM,Armenia,Other Europe,IE,Ireland,ESRA North-West,0,0,0,0,2,0,1,0,0,1,5,2,0,1,0
AM,Armenia,Other Europe,IT,Italy,ESRA Mediterranean,8,9,3,6,4,5,14,18,76,166,131,148,134,108,13
AM,Armenia,Other Europe,LT,Lithuania,Other Europe,0,0,0,0,1,1,0,1,0,1,3,2,4,3,4
AM,Armenia,Other Europe,LU,Luxembourg,ESRA North-West,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0
AM,Armenia,Other Europe,LV,Latvia,Other Europe,0,0,0,0,1,0,0,72,59,47,39,1,2,1,2
AM,Armenia,Other Europe,MD,Moldova,ESRA East,2,1,1,0,2,1,0,3,2,1,3,3,2,1,1
AM,Armenia,Other Europe,MK,Macedonia,ESRA East,0,0,0,3,2,1,0,0,0,2,1,0,1,0,0
AM,Armenia,Other Europe,MT,Malta,ESRA Mediterranean,1,0,0,0,7,3,0,1,1,0,0,0,6,0,4
AM,Armenia,Other Europe,NL,Netherlands,ESRA North-West,112,103,101,93,68,103,91,116,81,67,53,13,2,2,1
AM,Armenia,Other Europe,NO,Norway,ESRA North-West,3,0,1,0,0,0,0,0,0,0,1,1,1,0,1
AM,Armenia,Other Europe,PL,Poland,ESRA East,3,1,1,1,1,0,1,1,2,67,164,196,118,209,79
AM,Armenia,Other Europe,PT,Portugal,ESRA Mediterranean,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
AM,Armenia,Other Europe,RO,Romania,ESRA East,6,5,3,3,3,11,1,2,3,4,15,15,9,10,6
AM,Armenia,Other Europe,RS,Serbia,ESRA East,0,0,0,0,2,9,14,2,38,48,10,11,12,15,12
AM,Armenia,Other Europe,SE,Sweden,ESRA North-West,0,0,0,1,1,2,0,3,11,6,1,5,1,3,2
AM,Armenia,Other Europe,SI,Slovenia,ESRA East,0,2,0,0,2,2,0,1,2,1,2,0,0,0,0
AM,Armenia,Other Europe,SK,Slovakia,ESRA East,0,3,0,1,0,0,2,1,0,6,6,1,1,1,1
AM,Armenia,Other Europe,TR,Turkey,ESRA Mediterranean,110,171,99,256,198,218,192,214,197,184,175,148,141,146,136
AM,Armenia,Other Europe,UA,Ukraine,ESRA East,12,127,456,495,412,424,444,504,389,502,522,414,346,420,409
AT,Austria,ESRA North-West,AL,Albania,ESRA East,367,369,500,789,973,827,761,730,621,690,694,761,730,673,672
AT,Austria,ESRA North-West,AM,Armenia,Other Europe,111,155,120,213,295,254,263,231,261,259,273,280,282,288,272
AT,Austria,ESRA North-West,AT,Austria,ESRA North-West,26609,27496,26917,27130,28439,28310,29742,30166,28798,28274,23785,23752,22753,21149,19137
AT,Austria,ESRA North-West,BA,Bosnia & Herzegovina,ESRA East,782,635,699,854,845,840,850,878,937,1043,832,767,724,706,690
AT,Austria,ESRA North-West,BE,Belgium,ESRA North-West,3745,4092,3717,3743,3718,3923,4145,3954,3343,3151,2945,2587,2731,2704,2692
AT,Austria,ESRA North-West,BG,Bulgaria,ESRA East,1163,1286,1301,1626,2006,2089,2534,2968,2439,2767,2782,3186,2457,2328,2272
AT,Austria,ESRA North-West,CH,Switzerland,ESRA North-West,11831,11279,10825,11831,10676,8593,9136,10018,9429,9318,9792,9452,9892,9288,9427
AT,Austria,ESRA North-West,CY,Cyprus,ESRA Mediterranean,416,401,373,415,546,529,692,781,665,611,534,609,614,720,863
AT,Austria,ESRA North-West,CZ,Czechia,ESRA East,2519,2630,2572,3060,3455,3978,4056,3483,2970,3021,3209,2716,2542,2429,2515
